run_dir,repo,run_id,file_count,text_file_count,total_size,avg_file_size,kw_total,kw_count_137,kw_count_killed,kw_count_oom,kw_count_out of memory,kw_count_memory limit,kw_count_no memory
apache_spark_20300756800,apache_spark,20300756800,2,2,9103,4551.5,0,0,0,0,0,0,0
apache_spark_20301081110,apache_spark,20301081110,16,16,3466012,216625.75,163,144,18,1,0,0,0
apache_spark_20301952777,apache_spark,20301952777,16,16,3465676,216604.75,176,157,18,1,0,0,0
apache_spark_20302209410,apache_spark,20302209410,32,32,98085220,3065163.125,4728,4261,396,67,0,1,3
apache_spark_20303467350,apache_spark,20303467350,38,38,45205692,1189623.4736842106,2856,2185,562,106,0,0,3
apache_spark_20305538109,apache_spark,20305538109,24,24,43963841,1831826.7083333333,2936,2011,504,418,0,0,3
apache_spark_20305947596,apache_spark,20305947596,2,2,8061,4030.5,0,0,0,0,0,0,0
apache_spark_20306012284,apache_spark,20306012284,2,2,8061,4030.5,0,0,0,0,0,0,0
apache_spark_20307314721,apache_spark,20307314721,24,24,44555627,1856484.4583333333,3182,2174,588,417,0,0,3
apache_spark_20307402971,apache_spark,20307402971,22,22,6520177,296371.6818181818,218,218,0,0,0,0,0
apache_spark_20307622082,apache_spark,20307622082,32,32,93287610,2915237.8125,4495,4083,359,50,0,0,3
apache_spark_20307797579,apache_spark,20307797579,2,2,8061,4030.5,0,0,0,0,0,0,0
apache_spark_20309322542,apache_spark,20309322542,22,22,6292784,286035.63636363635,282,266,16,0,0,0,0
apache_spark_20309944658,apache_spark,20309944658,38,38,48286160,1270688.4210526317,2900,2171,598,128,0,0,3
apache_spark_20311024538,apache_spark,20311024538,2,2,18055,9027.5,3,3,0,0,0,0,0
apache_spark_20320659001,apache_spark,20320659001,2,2,32578,16289.0,10,10,0,0,0,0,0
facebook_react-native_19983012180,facebook_react-native,19983012180,10,10,791889,79188.9,24,24,0,0,0,0,0
facebook_react-native_19985496568,facebook_react-native,19985496568,116,116,350649046,3022836.603448276,3811,3553,2,256,0,0,0
facebook_react-native_19998146632,facebook_react-native,19998146632,116,116,350487821,3021446.7327586208,3795,3537,2,256,0,0,0
facebook_react-native_19998950184,facebook_react-native,19998950184,10,10,600919,60091.9,25,25,0,0,0,0,0
facebook_react-native_20003286410,facebook_react-native,20003286410,2,2,17507,8753.5,0,0,0,0,0,0,0
facebook_react-native_20003912179,facebook_react-native,20003912179,2,2,17507,8753.5,0,0,0,0,0,0,0
facebook_react-native_20003912211,facebook_react-native,20003912211,114,114,350071366,3070801.456140351,3724,3466,2,256,0,0,0
facebook_react-native_20016675920,facebook_react-native,20016675920,10,10,817752,81775.2,45,45,0,0,0,0,0
facebook_react-native_20021506878,facebook_react-native,20021506878,96,96,305432771,3181591.3645833335,3320,3070,0,250,0,0,0
facebook_react-native_20021787908,facebook_react-native,20021787908,96,96,305690586,3184276.9375,3421,3171,0,250,0,0,0
facebook_react-native_20022963425,facebook_react-native,20022963425,96,96,305101217,3178137.6770833335,3449,3199,0,250,0,0,0
facebook_react-native_20023193608,facebook_react-native,20023193608,2,2,24089060,12044530.0,223,223,0,0,0,0,0
facebook_react-native_20026908907,facebook_react-native,20026908907,98,98,305406250,3116390.3061224488,3268,3018,0,250,0,0,0
facebook_react-native_20027797594,facebook_react-native,20027797594,2,2,17401,8700.5,1,1,0,0,0,0,0
facebook_react-native_20027797912,facebook_react-native,20027797912,96,96,305448629,3181756.5520833335,3229,2979,0,250,0,0,0
facebook_react-native_20028110789,facebook_react-native,20028110789,96,96,305135015,3178489.7395833335,3329,3079,0,250,0,0,0
facebook_react-native_20028594468,facebook_react-native,20028594468,96,96,305038301,3177482.3020833335,3392,3142,0,250,0,0,0
facebook_react-native_20028616956,facebook_react-native,20028616956,96,96,305341935,3180645.15625,3215,2965,0,250,0,0,0
facebook_react-native_20028618867,facebook_react-native,20028618867,96,96,305573481,3183057.09375,3421,3171,0,250,0,0,0
facebook_react-native_20028621230,facebook_react-native,20028621230,2,2,166473,83236.5,44,44,0,0,0,0,0
facebook_react-native_20030265333,facebook_react-native,20030265333,96,96,377984008,3937333.4166666665,4971,4638,0,333,0,0,0
facebook_react-native_20031544532,facebook_react-native,20031544532,96,96,380477203,3963304.1979166665,4985,4652,0,333,0,0,0
facebook_react-native_20033093839,facebook_react-native,20033093839,96,96,379994138,3958272.2708333335,5194,4861,0,333,0,0,0
facebook_react-native_20033837989,facebook_react-native,20033837989,96,96,374135479,3897244.5729166665,5004,4671,0,333,0,0,0
facebook_react-native_20034338899,facebook_react-native,20034338899,96,96,453298969,4721864.260416667,5637,5304,0,333,0,0,0
facebook_react-native_20034941605,facebook_react-native,20034941605,96,96,380244389,3960879.0520833335,5022,4689,0,333,0,0,0
facebook_react-native_20035472873,facebook_react-native,20035472873,96,96,379353796,3951602.0416666665,4977,4644,0,333,0,0,0
facebook_react-native_20035754584,facebook_react-native,20035754584,96,96,379933393,3957639.5104166665,5205,4872,0,333,0,0,0
facebook_react-native_20036956684,facebook_react-native,20036956684,96,96,380018995,3958531.1979166665,5120,4787,0,333,0,0,0
facebook_react-native_20038212125,facebook_react-native,20038212125,4,4,205774,51443.5,12,12,0,0,0,0,0
facebook_react-native_20046816646,facebook_react-native,20046816646,98,98,380135240,3878931.0204081633,4995,4662,0,333,0,0,0
facebook_react-native_20047646059,facebook_react-native,20047646059,98,98,305156299,3113839.785714286,3284,3034,0,250,0,0,0
facebook_react-native_20048190376,facebook_react-native,20048190376,2,2,167850,83925.0,3,3,0,0,0,0,0
facebook_react-native_20050234296,facebook_react-native,20050234296,58,58,87370772,1506392.6206896552,840,827,0,13,0,0,0
facebook_react-native_20051905723,facebook_react-native,20051905723,2,2,11170,5585.0,1,1,0,0,0,0,0
facebook_react-native_20056093713,facebook_react-native,20056093713,96,96,305621841,3183560.84375,3388,3138,0,250,0,0,0
facebook_react-native_20058718007,facebook_react-native,20058718007,96,96,305555481,3182869.59375,3255,3005,0,250,0,0,0
facebook_react-native_20059186150,facebook_react-native,20059186150,96,96,305217480,3179348.75,3355,3105,0,250,0,0,0
facebook_react-native_20059261147,facebook_react-native,20059261147,96,96,305444448,3181713.0,3394,3144,0,250,0,0,0
facebook_react-native_20059341573,facebook_react-native,20059341573,96,96,305675081,3184115.4270833335,3284,3034,0,250,0,0,0
facebook_react-native_20060121178,facebook_react-native,20060121178,2,2,167859,83929.5,2,2,0,0,0,0,0
